ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_11	Inh L1-2 VIP TSPAN12	Inh L1-2 VIP TSPAN12|MTG 011		cell_set_preferred_alias:Inh L1-2 VIP TSPAN12 ; original_label:Inh L1-2 VIP TSPAN12 ; cell_set_label:MTG 011 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_12	Inh L1-4 VIP CHRNA6	MTG 012|Inh L1-4 VIP CHRNA6		cell_set_preferred_alias:Inh L1-4 VIP CHRNA6 ; original_label:Inh L1-4 VIP CHRNA6 ; cell_set_label:MTG 012 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_92		n17|MTG 013-014		cell_set_preferred_alias:'' ; original_label:n17 ; cell_set_label:MTG 013-014 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_13	Inh L1-3 VIP ADAMTSL1	MTG 013|Inh L1-3 VIP ADAMTSL1		cell_set_preferred_alias:Inh L1-3 VIP ADAMTSL1 ; original_label:Inh L1-3 VIP ADAMTSL1 ; cell_set_label:MTG 013 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_14	Inh L1-4 VIP PENK	MTG 014|Inh L1-4 VIP PENK		cell_set_preferred_alias:Inh L1-4 VIP PENK ; original_label:Inh L1-4 VIP PENK ; cell_set_label:MTG 014 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_93		MTG 015-027|n18		cell_set_preferred_alias:'' ; original_label:n18 ; cell_set_label:MTG 015-027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_94		MTG 015-019|n19		cell_set_preferred_alias:'' ; original_label:n19 ; cell_set_label:MTG 015-019 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_95		MTG 015-017|n20		cell_set_preferred_alias:'' ; original_label:n20 ; cell_set_label:MTG 015-017 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_96		n21|MTG 015-016		cell_set_preferred_alias:'' ; original_label:n21 ; cell_set_label:MTG 015-016 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_15	Inh L2-6 VIP QPCT	Inh L2-6 VIP QPCT|MTG 015		cell_set_preferred_alias:Inh L2-6 VIP QPCT ; original_label:Inh L2-6 VIP QPCT ; cell_set_label:MTG 015 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_16	Inh L3-6 VIP HS3ST3A1	Inh L3-6 VIP HS3ST3A1|MTG 016		cell_set_preferred_alias:Inh L3-6 VIP HS3ST3A1 ; original_label:Inh L3-6 VIP HS3ST3A1 ; cell_set_label:MTG 016 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_17	Inh L1-2 VIP PCDH20	MTG 017|Inh L1-2 VIP PCDH20		cell_set_preferred_alias:Inh L1-2 VIP PCDH20 ; original_label:Inh L1-2 VIP PCDH20 ; cell_set_label:MTG 017 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
