ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function
AllenDend:CS201810310_114	VISp_ALM 114 - CS201810310_114	Pvalb Tpbg - CS201810310_114	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_238	Pvalb Tpbg	
AllenDend:CS201810310_115	VISp_ALM 115 - CS201810310_115	Pvalb Vipr2 - CS201810310_115	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_230	Pvalb Vipr2|Chandelier	
AllenDend:CS201810310_239	VISp_ALM 116-117 - CS201810310_239	 - CS201810310_239	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_136	n106	
AllenDend:CS201810310_116	VISp_ALM 116 - CS201810310_116	Meis2 Adamts19 - CS201810310_116	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_239	Meis2 Adamts19|Meis2	
AllenDend:CS201810310_117	VISp_ALM 117 - CS201810310_117	CR Lhx5 - CS201810310_117	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_239	CR Lhx5|Cajal Retzius	
AllenDend:CS201810310_240	VISp_ALM 118-123 - CS201810310_240	 - CS201810310_240	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_135	n107	
AllenDend:CS201810310_241	VISp_ALM 118-120 - CS201810310_241	 - CS201810310_241	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_240	n108	
AllenDend:CS201810310_118	VISp_ALM 118 - CS201810310_118	Astro Aqp4 - CS201810310_118	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_241	Astro Aqp4|Astrocyte	
AllenDend:CS201810310_242	VISp_ALM 119-120 - CS201810310_242	OPC - CS201810310_242	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_241	n109|OPC	
AllenDend:CS201810310_119	VISp_ALM 119 - CS201810310_119	OPC Pdgfra Grm5 - CS201810310_119	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_242	OPC Pdgfra Grm5	
AllenDend:CS201810310_120	VISp_ALM 120 - CS201810310_120	OPC Pdgfra Ccnb1 - CS201810310_120	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_242	OPC Pdgfra Ccnb1	
AllenDend:CS201810310_243	VISp_ALM 121-123 - CS201810310_243	Oligodendrocyte - CS201810310_243	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_240	n110|Oligodendrocyte	
AllenDend:CS201810310_121	VISp_ALM 121 - CS201810310_121	Oligo Rassf10 - CS201810310_121	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_243	Oligo Rassf10	
AllenDend:CS201810310_244	VISp_ALM 122-123 - CS201810310_244	 - CS201810310_244	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_243	n111	
AllenDend:CS201810310_122	VISp_ALM 122 - CS201810310_122	Oligo Serpinb1a - CS201810310_122	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_244	Oligo Serpinb1a	
AllenDend:CS201810310_123	VISp_ALM 123 - CS201810310_123	Oligo Synpr - CS201810310_123	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_244	Oligo Synpr	
AllenDend:CS201810310_245	VISp_ALM 124-133 - CS201810310_245	 - CS201810310_245	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_134	n112	
AllenDend:CS201810310_246	VISp_ALM 124-131 - CS201810310_246	 - CS201810310_246	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_245	n113	
AllenDend:CS201810310_247	VISp_ALM 124-129 - CS201810310_247	 - CS201810310_247	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_246	n114	
AllenDend:CS201810310_248	VISp_ALM 124-127 - CS201810310_248	VLMC - CS201810310_248	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_247	n115|VLMC	
AllenDend:CS201810310_124	VISp_ALM 124 - CS201810310_124	VLMC Osr1 Cd74 - CS201810310_124	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_248	VLMC Osr1 Cd74	
AllenDend:CS201810310_249	VISp_ALM 125-127 - CS201810310_249	 - CS201810310_249	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_248	n116	
AllenDend:CS201810310_125	VISp_ALM 125 - CS201810310_125	VLMC Spp1 Hs3st6 - CS201810310_125	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_249	VLMC Spp1 Hs3st6	
AllenDend:CS201810310_250	VISp_ALM 126-127 - CS201810310_250	 - CS201810310_250	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_249	n117	
AllenDend:CS201810310_126	VISp_ALM 126 - CS201810310_126	VLMC Osr1 Mc5r - CS201810310_126	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_250	VLMC Osr1 Mc5r	
AllenDend:CS201810310_127	VISp_ALM 127 - CS201810310_127	VLMC Spp1 Col15a1 - CS201810310_127	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_250	VLMC Spp1 Col15a1	
AllenDend:CS201810310_251	VISp_ALM 128-129 - CS201810310_251	 - CS201810310_251	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_247	n118	
AllenDend:CS201810310_128	VISp_ALM 128 - CS201810310_128	Peri Kcnj8 - CS201810310_128	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_251	Peri Kcnj8|Pericyte	
AllenDend:CS201810310_129	VISp_ALM 129 - CS201810310_129	SMC Acta2 - CS201810310_129	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_251	SMC Acta2|SMC	
AllenDend:CS201810310_252	VISp_ALM 130-131 - CS201810310_252	Endothelial - CS201810310_252	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_246	n119|Endothelial	
AllenDend:CS201810310_130	VISp_ALM 130 - CS201810310_130	Endo Ctla2a - CS201810310_130	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_252	Endo Ctla2a	
AllenDend:CS201810310_131	VISp_ALM 131 - CS201810310_131	Endo Cytl1 - CS201810310_131	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_252	Endo Cytl1	
AllenDend:CS201810310_253	VISp_ALM 132-133 - CS201810310_253	Microglia-PVM - CS201810310_253	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_245	n120|Microglia-PVM	
AllenDend:CS201810310_132	VISp_ALM 132 - CS201810310_132	PVM Mrc1 - CS201810310_132	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_253	PVM Mrc1|PVM	
AllenDend:CS201810310_133	VISp_ALM 133 - CS201810310_133	Microglia Siglech - CS201810310_133	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_253	Microglia Siglech|Microglia	
