ID	Exemplar
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_31	AllenDend:CS201810310_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_167	AllenDend:CS201810310_167
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_32	AllenDend:CS201810310_32
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_33	AllenDend:CS201810310_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_168	AllenDend:CS201810310_168
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_34	AllenDend:CS201810310_34
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_169	AllenDend:CS201810310_169
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_35	AllenDend:CS201810310_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_36	AllenDend:CS201810310_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_170	AllenDend:CS201810310_170
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_171	AllenDend:CS201810310_171
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_172	AllenDend:CS201810310_172
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_37	AllenDend:CS201810310_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_173	AllenDend:CS201810310_173
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_38	AllenDend:CS201810310_38
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_39	AllenDend:CS201810310_39
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_40	AllenDend:CS201810310_40
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_174	AllenDend:CS201810310_174
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_175	AllenDend:CS201810310_175
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_176	AllenDend:CS201810310_176
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_177	AllenDend:CS201810310_177
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_41	AllenDend:CS201810310_41
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_178	AllenDend:CS201810310_178
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_42	AllenDend:CS201810310_42
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_43	AllenDend:CS201810310_43
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_179	AllenDend:CS201810310_179
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_44	AllenDend:CS201810310_44
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_180	AllenDend:CS201810310_180
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_45	AllenDend:CS201810310_45
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_46	AllenDend:CS201810310_46
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_47	AllenDend:CS201810310_47
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_181	AllenDend:CS201810310_181
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_182	AllenDend:CS201810310_182
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_183	AllenDend:CS201810310_183
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_48	AllenDend:CS201810310_48
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_184	AllenDend:CS201810310_184
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_49	AllenDend:CS201810310_49
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_50	AllenDend:CS201810310_50
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_185	AllenDend:CS201810310_185
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_186	AllenDend:CS201810310_186
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_51	AllenDend:CS201810310_51
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_52	AllenDend:CS201810310_52
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_53	AllenDend:CS201810310_53
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_54	AllenDend:CS201810310_54
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_55	AllenDend:CS201810310_55
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_187	AllenDend:CS201810310_187
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_188	AllenDend:CS201810310_188
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_189	AllenDend:CS201810310_189
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_190	AllenDend:CS201810310_190
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_191	AllenDend:CS201810310_191
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_56	AllenDend:CS201810310_56
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_192	AllenDend:CS201810310_192
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_193	AllenDend:CS201810310_193
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_57	AllenDend:CS201810310_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_58	AllenDend:CS201810310_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_194	AllenDend:CS201810310_194
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_59	AllenDend:CS201810310_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_60	AllenDend:CS201810310_60
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_195	AllenDend:CS201810310_195
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_61	AllenDend:CS201810310_61
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_62	AllenDend:CS201810310_62
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_196	AllenDend:CS201810310_196
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_197	AllenDend:CS201810310_197
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_63	AllenDend:CS201810310_63
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_198	AllenDend:CS201810310_198
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_199	AllenDend:CS201810310_199
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_64	AllenDend:CS201810310_64
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_65	AllenDend:CS201810310_65
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_66	AllenDend:CS201810310_66
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_200	AllenDend:CS201810310_200
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_67	AllenDend:CS201810310_67
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_68	AllenDend:CS201810310_68
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_201	AllenDend:CS201810310_201
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_202	AllenDend:CS201810310_202
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_69	AllenDend:CS201810310_69
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_70	AllenDend:CS201810310_70
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_203	AllenDend:CS201810310_203
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_204	AllenDend:CS201810310_204
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_205	AllenDend:CS201810310_205
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_71	AllenDend:CS201810310_71
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_72	AllenDend:CS201810310_72
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_206	AllenDend:CS201810310_206
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_207	AllenDend:CS201810310_207
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_73	AllenDend:CS201810310_73
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_208	AllenDend:CS201810310_208
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_74	AllenDend:CS201810310_74
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_75	AllenDend:CS201810310_75
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_209	AllenDend:CS201810310_209
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_210	AllenDend:CS201810310_210
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_211	AllenDend:CS201810310_211
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_76	AllenDend:CS201810310_76
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_77	AllenDend:CS201810310_77
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_212	AllenDend:CS201810310_212
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_78	AllenDend:CS201810310_78
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_79	AllenDend:CS201810310_79
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_213	AllenDend:CS201810310_213
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_80	AllenDend:CS201810310_80
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_81	AllenDend:CS201810310_81
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_214	AllenDend:CS201810310_214
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_215	AllenDend:CS201810310_215
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_82	AllenDend:CS201810310_82
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_83	AllenDend:CS201810310_83
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_84	AllenDend:CS201810310_84
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_216	AllenDend:CS201810310_216
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_85	AllenDend:CS201810310_85
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_217	AllenDend:CS201810310_217
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_218	AllenDend:CS201810310_218
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_219	AllenDend:CS201810310_219
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_220	AllenDend:CS201810310_220
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_86	AllenDend:CS201810310_86
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_87	AllenDend:CS201810310_87
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_88	AllenDend:CS201810310_88
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_221	AllenDend:CS201810310_221
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_89	AllenDend:CS201810310_89
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_90	AllenDend:CS201810310_90
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_91	AllenDend:CS201810310_91
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_222	AllenDend:CS201810310_222
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_223	AllenDend:CS201810310_223
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_92	AllenDend:CS201810310_92
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_93	AllenDend:CS201810310_93
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_94	AllenDend:CS201810310_94
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_224	AllenDend:CS201810310_224
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_95	AllenDend:CS201810310_95
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_96	AllenDend:CS201810310_96
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_225	AllenDend:CS201810310_225
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_97	AllenDend:CS201810310_97
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_98	AllenDend:CS201810310_98
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_226	AllenDend:CS201810310_226
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_227	AllenDend:CS201810310_227
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_99	AllenDend:CS201810310_99
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_100	AllenDend:CS201810310_100
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_101	AllenDend:CS201810310_101
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_228	AllenDend:CS201810310_228
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_102	AllenDend:CS201810310_102
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_229	AllenDend:CS201810310_229
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_103	AllenDend:CS201810310_103
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_104	AllenDend:CS201810310_104
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_105	AllenDend:CS201810310_105
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_230	AllenDend:CS201810310_230
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_231	AllenDend:CS201810310_231
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_232	AllenDend:CS201810310_232
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_106	AllenDend:CS201810310_106
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_107	AllenDend:CS201810310_107
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_233	AllenDend:CS201810310_233
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_234	AllenDend:CS201810310_234
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_108	AllenDend:CS201810310_108
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_235	AllenDend:CS201810310_235
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_236	AllenDend:CS201810310_236
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_109	AllenDend:CS201810310_109
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_110	AllenDend:CS201810310_110
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_111	AllenDend:CS201810310_111
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_237	AllenDend:CS201810310_237
