ID	Markers	part_of	has_soma_location
ID	SC 'expresses' some % SPLIT=|	SC 'part of' some %	SC 'has soma location' some %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_125	ensembl:ENSMUSG00000029819|ensembl:ENSMUSG00000075270		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	ensembl:ENSMUSG00000027168|ensembl:ENSMUSG00000024867		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	ensembl:ENSMUSG00000030525|ensembl:ENSMUSG00000059187|ensembl:ENSMUSG00000024598		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	ensembl:ENSMUSG00000024074|ensembl:ENSMUSG00000092094		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	ensembl:ENSMUSG00000021508|ensembl:ENSMUSG00000020902|ensembl:ENSMUSG00000042453		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	ensembl:ENSMUSG00000044447|ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000027971		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000075270		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	ensembl:ENSMUSG00000055471|ensembl:ENSMUSG00000022231		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	ensembl:ENSMUSG00000110002|ensembl:ENSMUSG00000029361		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_133	ensembl:ENSMUSG00000044288|ensembl:ENSMUSG00000058897		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	ensembl:ENSMUSG00000039385|ensembl:ENSMUSG00000058897|ensembl:ENSMUSG00000015766		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000048967		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_11	ensembl:ENSMUSG00000063661|ensembl:ENSMUSG00000042045|ensembl:ENSMUSG00000027849		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_12	ensembl:ENSMUSG00000028222|ensembl:ENSMUSG00000024376|ensembl:ENSMUSG00000027849		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_13	ensembl:ENSMUSG00000028004|ensembl:ENSMUSG00000029101		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_14	ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000022656|ensembl:ENSMUSG00000020099		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_138	ensembl:ENSMUSG00000019772		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_15	ensembl:ENSMUSG00000026475|ensembl:ENSMUSG00000027996		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_16	ensembl:ENSMUSG00000022371|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000038718		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_17	ensembl:ENSMUSG00000022425|ensembl:ENSMUSG00000025813|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000040624		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_18	ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000045648		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_19	ensembl:ENSMUSG00000038718|ensembl:ENSMUSG00000041741|ensembl:ENSMUSG00000019772		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_20	ensembl:ENSMUSG00000031963|ensembl:ENSMUSG00000020042|ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000019772		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	ensembl:ENSMUSG00000112276|ensembl:ENSMUSG00000032269		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	ensembl:ENSMUSG00000003657|ensembl:ENSMUSG00000110281		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	ensembl:ENSMUSG00000021919|ensembl:ENSMUSG00000028004		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	ensembl:ENSMUSG00000060371|ensembl:ENSMUSG00000024211		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	ensembl:ENSMUSG00000032017|ensembl:ENSMUSG00000026322		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_26	ensembl:ENSMUSG00000110468|ensembl:ENSMUSG00000032625		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_27	ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000042581		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	ensembl:ENSMUSG00000029361		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	ensembl:ENSMUSG00000097462|ensembl:ENSMUSG00000021647|ensembl:ENSMUSG00000059203		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000042453		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	ensembl:ENSMUSG00000031841|ensembl:ENSMUSG00000055214|ensembl:ENSMUSG00000051910		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	ensembl:ENSMUSG00000025370|ensembl:ENSMUSG00000019828		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	ensembl:ENSMUSG00000105068|ensembl:ENSMUSG00000027400		UBERON:0001384
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	ensembl:ENSMUSG00000026141|ensembl:ENSMUSG00000024598|ensembl:ENSMUSG00000031997		UBERON:0001384
