""	"gene_id"	"gene_name"
"1"	"ENSMUSG00000051951"	"Xkr4"
"4"	"ENSMUSG00000089699"	"Gm1992"
"5"	"ENSMUSG00000102343"	"Gm37381"
"7"	"ENSMUSG00000025900"	"Rp1"
"11"	"ENSMUSG00000025902"	"Sox17"
"19"	"ENSMUSG00000104328"	"Gm37323"
"20"	"ENSMUSG00000033845"	"Mrpl15"
"27"	"ENSMUSG00000025903"	"Lypla1"
"35"	"ENSMUSG00000104217"	"Gm37988"
"36"	"ENSMUSG00000033813"	"Tcea1"
"38"	"ENSMUSG00000002459"	"Rgs20"
"45"	"ENSMUSG00000085623"	"Gm16041"
"46"	"ENSMUSG00000033793"	"Atp6v1h"
"54"	"ENSMUSG00000025905"	"Oprk1"
"59"	"ENSMUSG00000033774"	"Npbwr1"
"60"	"ENSMUSG00000025907"	"Rb1cc1"
"76"	"ENSMUSG00000090031"	"4732440D04Rik"
"79"	"ENSMUSG00000087247"	"Alkal1"
"80"	"ENSMUSG00000033740"	"St18"
"93"	"ENSMUSG00000051285"	"Pcmtd1"
"101"	"ENSMUSG00000097797"	"Gm26901"
"105"	"ENSMUSG00000103067"	"Gm30414"
"106"	"ENSMUSG00000025909"	"Sntg1"
"117"	"ENSMUSG00000061024"	"Rrs1"
"118"	"ENSMUSG00000025911"	"Adhfe1"
"123"	"ENSMUSG00000067879"	"3110035E14Rik"
"124"	"ENSMUSG00000099827"	"Gm29520"
"125"	"ENSMUSG00000025912"	"Mybl1"
"130"	"ENSMUSG00000045210"	"Vcpip1"
"131"	"ENSMUSG00000097893"	"1700034P13Rik"
"138"	"ENSMUSG00000025915"	"Sgk3"
"150"	"ENSMUSG00000046101"	"Mcmdc2"
"156"	"ENSMUSG00000098234"	"Snhg6"
"161"	"ENSMUSG00000099032"	"Tcf24"
"163"	"ENSMUSG00000025916"	"Ppp1r42"
"169"	"ENSMUSG00000087199"	"Gm15818"
"170"	"ENSMUSG00000025917"	"Cops5"
"177"	"ENSMUSG00000056763"	"Cspp1"
"204"	"ENSMUSG00000067851"	"Arfgef1"
"212"	"ENSMUSG00000042501"	"Cpa6"
"216"	"ENSMUSG00000048960"	"Prex2"
"224"	"ENSMUSG00000057715"	"A830018L16Rik"
"234"	"ENSMUSG00000097171"	"Gm17644"
"235"	"ENSMUSG00000101314"	"Gm29663"
"236"	"ENSMUSG00000016918"	"Sulf1"
"246"	"ENSMUSG00000025938"	"Slco5a1"
"254"	"ENSMUSG00000099498"	"Gm29283"
"255"	"ENSMUSG00000042414"	"Prdm14"
"256"	"ENSMUSG00000005886"	"Ncoa2"
"267"	"ENSMUSG00000101476"	"Gm29570"
"268"	"ENSMUSG00000025935"	"Tram1"
"271"	"ENSMUSG00000025937"	"Lactb2"
"273"	"ENSMUSG00000067813"	"Xkr9"
"274"	"ENSMUSG00000025932"	"Eya1"
"283"	"ENSMUSG00000054493"	"Gm9947"
"285"	"ENSMUSG00000025930"	"Msc"
"289"	"ENSMUSG00000032769"	"Trpa1"
"290"	"ENSMUSG00000092083"	"Kcnb2"
"292"	"ENSMUSG00000025925"	"Terf1"
"296"	"ENSMUSG00000032719"	"Sbspon"
"297"	"ENSMUSG00000067795"	"4930444P10Rik"
"300"	"ENSMUSG00000043716"	"Rpl7"
"306"	"ENSMUSG00000025921"	"Rdh10"
"308"	"ENSMUSG00000100868"	"Gm28095"
"309"	"ENSMUSG00000025920"	"Stau2"
"326"	"ENSMUSG00000089982"	"Gm7568"
"329"	"ENSMUSG00000025939"	"Ube2w"
"335"	"ENSMUSG00000079658"	"Eloc"
"346"	"ENSMUSG00000097744"	"D030040B21Rik"
"347"	"ENSMUSG00000025940"	"Tmem70"
"351"	"ENSMUSG00000025779"	"Ly96"
"354"	"ENSMUSG00000101640"	"Gm28376"
"355"	"ENSMUSG00000042686"	"Jph1"
"357"	"ENSMUSG00000100110"	"Gm28783"
"358"	"ENSMUSG00000025777"	"Gdap1"
"362"	"ENSMUSG00000099899"	"Gm28784"
"363"	"ENSMUSG00000067780"	"Pi15"
"364"	"ENSMUSG00000100053"	"Gm28154"
"365"	"ENSMUSG00000085125"	"Gm16070"
"368"	"ENSMUSG00000025776"	"Crispld1"
"371"	"ENSMUSG00000099895"	"Gm28153"
"372"	"ENSMUSG00000025774"	"Crisp4"
"376"	"ENSMUSG00000073735"	"Defb18"
"377"	"ENSMUSG00000067773"	"Defb41"
"379"	"ENSMUSG00000089787"	"Gm15825"
"380"	"ENSMUSG00000042596"	"Tfap2d"
"382"	"ENSMUSG00000025927"	"Tfap2b"
"387"	"ENSMUSG00000100538"	"Gm28340"
"388"	"ENSMUSG00000043760"	"Pkhd1"
"392"	"ENSMUSG00000089914"	"4930486I03Rik"
"393"	"ENSMUSG00000099906"	"Gm28653"
"395"	"ENSMUSG00000025929"	"Il17a"
"396"	"ENSMUSG00000041872"	"Il17f"
"400"	"ENSMUSG00000041859"	"Mcm3"
"405"	"ENSMUSG00000102121"	"Gm28065"
"406"	"ENSMUSG00000097934"	"6720483E21Rik"
"407"	"ENSMUSG00000025931"	"Paqr8"
"411"	"ENSMUSG00000041809"	"Efhc1"
"413"	"ENSMUSG00000041779"	"Tram2"
"415"	"ENSMUSG00000099971"	"Gm28287"
"416"	"ENSMUSG00000025933"	"Tmem14a"
"418"	"ENSMUSG00000025934"	"Gsta3"
"422"	"ENSMUSG00000099343"	"Gm28836"
"423"	"ENSMUSG00000067750"	"Khdc1a"
"424"	"ENSMUSG00000041722"	"Khdc1c"
"425"	"ENSMUSG00000085079"	"Khdc1b"
"426"	"ENSMUSG00000028033"	"Kcnq5"
"433"	"ENSMUSG00000097109"	"Gm26580"
"434"	"ENSMUSG00000041670"	"Rims1"
"443"	"ENSMUSG00000073730"	"4933415F23Rik"
"444"	"ENSMUSG00000097970"	"Gm27028"
"445"	"ENSMUSG00000100775"	"Gm29107"
"446"	"ENSMUSG00000026158"	"Ogfrl1"
"450"	"ENSMUSG00000099503"	"Gm28822"
"451"	"ENSMUSG00000026156"	"B3gat2"
"454"	"ENSMUSG00000026155"	"Smap1"
"461"	"ENSMUSG00000026154"	"Sdhaf4"
"463"	"ENSMUSG00000026153"	"Fam135a"
"472"	"ENSMUSG00000026147"	"Col9a1"
"476"	"ENSMUSG00000026141"	"Col19a1"
"479"	"ENSMUSG00000073725"	"Lmbrd1"
"485"	"ENSMUSG00000100483"	"Gm28237"
"487"	"ENSMUSG00000099392"	"Gm29414"
"488"	"ENSMUSG00000033569"	"Adgrb3"
"499"	"ENSMUSG00000073722"	"4931408C20Rik"
"500"	"ENSMUSG00000101514"	"Gm5524"
"501"	"ENSMUSG00000048411"	"Gm597"
"502"	"ENSMUSG00000053185"	"Gm9898"
"503"	"ENSMUSG00000048874"	"Phf3"
"517"	"ENSMUSG00000026064"	"Ptp4a1"
"523"	"ENSMUSG00000100371"	"Gm29669"
"524"	"ENSMUSG00000100237"	"Gm28644"
"525"	"ENSMUSG00000086727"	"4931428L18Rik"
"529"	"ENSMUSG00000100910"	"Gm29128"
"530"	"ENSMUSG00000050217"	"Lgsn"
"532"	"ENSMUSG00000026063"	"Pih1d3"
"533"	"ENSMUSG00000026058"	"Khdrbs2"
"538"	"ENSMUSG00000091318"	"Gm5415"
"539"	"ENSMUSG00000102917"	"Gm37724"
"540"	"ENSMUSG00000104230"	"Gm37591"
"541"	"ENSMUSG00000026134"	"Prim2"
"544"	"ENSMUSG00000004768"	"Rab23"
"554"	"ENSMUSG00000042215"	"Bag2"
"558"	"ENSMUSG00000042197"	"Zfp451"
"567"	"ENSMUSG00000042182"	"Bend6"
"573"	"ENSMUSG00000026131"	"Dst"
"593"	"ENSMUSG00000104397"	"Gm37958"
"594"	"ENSMUSG00000102336"	"Gm37233"
"595"	"ENSMUSG00000042111"	"Ccdc115"
"597"	"ENSMUSG00000101711"	"Gm28306"
"598"	"ENSMUSG00000026127"	"Imp4"
"606"	"ENSMUSG00000026126"	"Ptpn18"
"613"	"ENSMUSG00000101223"	"4930568A12Rik"
"615"	"ENSMUSG00000026125"	"Prss39"
"617"	"ENSMUSG00000026124"	"Cfc1"
"618"	"ENSMUSG00000037529"	"Prss40"
"621"	"ENSMUSG00000045815"	"1700101I19Rik"
"623"	"ENSMUSG00000045174"	"Amer3"
"624"	"ENSMUSG00000037509"	"Arhgef4"
"632"	"ENSMUSG00000104002"	"Gm38336"
