ID	Synonym	Pref Name	Obsoleted By	Obselete	Comment	Label	Definition	Exact Synonym
ID	A obo:PCL_0000100	A jcvi:preferred_name	AI obo:IAO_0100001	AT owl:deprecated^^xsd:boolean	A rdfs:comment	A rdfs:label	A skos:definition	A oboInOwl:hasExactSynonym SPLIT=|
http://purl.obolibrary.org/obo/PCL_0000		MEIS2-expressing primary motor cortex GABAergic interneuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete MEIS2-expressing primary motor cortex GABAergic interneuron	OBSOLETE. is a CGE-derived primary motor cortex GABAergic interneuron that selectively expresses MEIS2	pCL0
http://purl.obolibrary.org/obo/PCL_0000101	Meis2	Meis2-expressing mouse primary motor cortex glutamatergic neuron	http://purl.obolibrary.org/obo/PCL_0011209	true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Meis2-expressing mouse primary motor cortex glutamatergic neuron	OBSOLETE. is a Meis2-expressing mouse primary motor cortex glutamatergic neuron that selectively expresses Meis2, and Tiam2 mRNAs	pCL101
http://purl.obolibrary.org/obo/PCL_0000102	Meis2_Top2a	Igfbpl1-expressing mouse primary motor cortex glutamatergic neuron	http://purl.obolibrary.org/obo/PCL_0011090	true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Igfbpl1-expressing mouse primary motor cortex glutamatergic neuron	OBSOLETE. is a Meis2 expressing mouse primary motor cortex glutamatergic neuron that selectively expresses Gm17750, and Gm29260, and Igfbpl1 mRNAs	pCL102
http://purl.obolibrary.org/obo/PCL_0000105		Layer 2/3 Intratelencephalic neuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Layer 2/3 Intratelencephalic neuron	OBSOLETE. is a SATB2-expressing Layer 2/3 Intratelencephalic primary motor cortex Glutamatergic neuron	pCL105
http://purl.obolibrary.org/obo/PCL_0000106		Layer 5 Extratelencephalic neuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Layer 5 Extratelencephalic neuron	OBSOLETE. is a SATB2-expressing Layer 5 Extratelencephalic primary motor cortex Glutamatergic neuron	pCL106
http://purl.obolibrary.org/obo/PCL_0000107		Layer 5 Intratelencephalic neuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Layer 5 Intratelencephalic neuron	OBSOLETE. is a SATB2-expressing Layer 5 Intratelencephalic primary motor cortex Glutamatergic neuron	pCL107
http://purl.obolibrary.org/obo/PCL_0000108		layer 5/6 non-pyramidal neuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete layer 5/6 non-pyramidal neuron	OBSOLETE. is a SATB2-expressing layer 5/6 non-pyramidal primary motor cortex Glutamatergic neuron	pCL108
http://purl.obolibrary.org/obo/PCL_0000109		Layer 6 Corticothalamic neuron		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Layer 6 Corticothalamic neuron	OBSOLETE. is a SATB2-expressing Layer 6 Corticothalamic primary motor cortex Glutamatergic neuron	pCL109
http://purl.obolibrary.org/obo/PCL_0000110		Layer 6 Intratelencephalic neuron that selectively expresses Car3		true	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for new term.	obsolete Layer 6 Intratelencephalic neuron that selectively expresses Car3	OBSOLETE. is a SATB2-expressing primary motor cortex Layer 6 Intratelencephalic Glutamatergic neuron that selectively expresses Car3	pCL110
