ID	CLASS_TYPE	Evidence	Gross_cell_type	Brain_region	Marker1	Marker2	Marker3	Marker4	Marker5	Marker6	Marker7	Marker8	Marker9	Marker10	Marker11	Marker12	Marker13	Marker14	Marker15	Marker16	Marker17
ID	CLASS_TYPE	AI RO:0002558	C %	C 'has soma location' some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_124	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_124	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551															
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_125	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_125	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000029819													
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_126	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_126	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_1	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000027168	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000024867	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_127	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_127	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_2	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000030525	ensembl:ENSMUSG00000059187	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000024598	ensembl:ENSMUSG00000029819								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_128	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_128	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_3	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000092094	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000024074	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_4	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000021508	ensembl:ENSMUSG00000020902	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819									
