ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata
ID	LABEL	A skos:prefLabel	TI %	TYPE	I BDSHELP:subcluster_of SPLIT='|'	A oboInOwl:has_exact_synonym	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases	A n2o:cell_set_alias_assignee	A n2o:cell_set_alias_citation	A n2o:node_metadata
AllenDend:CS201908210_76	All cells - CS201908210_76	 - CS201908210_76	BDSHELP:Cluster	owl:NamedIndividual		n1			n1	All cells			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 75, ""midpoint"": 57.5288, ""height"": 0.9146, ""label"": """", ""cell_set_accession"": ""CS201908210_76"", ""original_label"": ""n1"", ""cell_set_label"": ""All cells"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n1""}"
AllenDend:CS201908210_77	MTG 001-069 - CS201908210_77	Neuronal - CS201908210_77	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_76	n2		Neuronal	n2	MTG 001-069			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 69, ""midpoint"": 42.0889, ""height"": 0.5566, ""label"": ""Neuronal"", ""cell_set_accession"": ""CS201908210_77"", ""original_label"": ""n2"", ""cell_set_label"": ""MTG 001-069"", ""cell_set_preferred_alias"": ""Neuronal"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n2""}"
AllenDend:CS201908210_78	MTG 001-045 - CS201908210_78	Inhibitory - CS201908210_78	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_77	n3|GABAergic		Inhibitory	n3	MTG 001-045	GABAergic		Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 45, ""midpoint"": 23.2148, ""height"": 0.4148, ""label"": ""Inhibitory"", ""cell_set_accession"": ""CS201908210_78"", ""original_label"": ""n3"", ""cell_set_label"": ""MTG 001-045"", ""cell_set_preferred_alias"": ""Inhibitory"", ""cell_set_aligned_alias"": ""GABAergic"", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n3""}"
AllenDend:CS201908210_79	MTG 001-027 - CS201908210_79	ADARB2 (CGE) - CS201908210_79	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_78	n4|CGE/PoA		ADARB2 (CGE)	n4	MTG 001-027	CGE/PoA		Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 27, ""midpoint"": 8.4297, ""height"": 0.3449, ""label"": ""ADARB2 (CGE)"", ""cell_set_accession"": ""CS201908210_79"", ""original_label"": ""n4"", ""cell_set_label"": ""MTG 001-027"", ""cell_set_preferred_alias"": ""ADARB2 (CGE)"", ""cell_set_aligned_alias"": ""CGE/PoA"", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n4""}"
AllenDend:CS201908210_80	MTG 001-006 - CS201908210_80	LAMP5/PAX6 - CS201908210_80	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_79	n5		LAMP5/PAX6	n5	MTG 001-006			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 6, ""midpoint"": 1.8125, ""height"": 0.2938, ""label"": ""LAMP5/PAX6"", ""cell_set_accession"": ""CS201908210_80"", ""original_label"": ""n5"", ""cell_set_label"": ""MTG 001-006"", ""cell_set_preferred_alias"": ""LAMP5/PAX6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n5""}"
AllenDend:CS201908210_81	MTG 001-002 - CS201908210_81	 - CS201908210_81	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_80	n6|Pax6			n6	MTG 001-002	Pax6		Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.1516, ""label"": """", ""cell_set_accession"": ""CS201908210_81"", ""original_label"": ""n6"", ""cell_set_label"": ""MTG 001-002"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": ""Pax6"", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n6""}"
AllenDend:CS201908210_1	MTG 001 - CS201908210_1	Inh L1-2 PAX6 CDH12 - CS201908210_1	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_81	Inh L1-2 PAX6 CDH12		Inh L1-2 PAX6 CDH12	Inh L1-2 PAX6 CDH12	MTG 001			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 PAX6 CDH12"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#DDACC9"", ""nodePar.col"": ""#DDACC9"", ""cell_set_accession"": ""CS201908210_1"", ""original_label"": ""Inh L1-2 PAX6 CDH12"", ""cell_set_label"": ""MTG 001"", ""cell_set_preferred_alias"": ""Inh L1-2 PAX6 CDH12"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 PAX6 CDH12"", ""is_leaf"": true}"
AllenDend:CS201908210_2	MTG 002 - CS201908210_2	Inh L1-2 PAX6 TNFAIP8L3 - CS201908210_2	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_81	Inh L1-2 PAX6 TNFAIP8L3		Inh L1-2 PAX6 TNFAIP8L3	Inh L1-2 PAX6 TNFAIP8L3	MTG 002			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF88AD"", ""nodePar.col"": ""#FF88AD"", ""cell_set_accession"": ""CS201908210_2"", ""original_label"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""cell_set_label"": ""MTG 002"", ""cell_set_preferred_alias"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""is_leaf"": true}"
AllenDend:CS201908210_82	MTG 003-006 - CS201908210_82	 - CS201908210_82	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_80	n7			n7	MTG 003-006			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 4, ""midpoint"": 1.125, ""height"": 0.1782, ""label"": """", ""cell_set_accession"": ""CS201908210_82"", ""original_label"": ""n7"", ""cell_set_label"": ""MTG 003-006"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n7""}"
