ID	Label	PrefLabel	Synonyms	Exemplar	Classification	Comment	part of	part evidence comment	part evidence pub	part evidence dbxref	location	location evidence comment	location evidence pub	location evidence dbxref	has soma location	soma location evidence comment	soma location evidence pub	soma location evidence dbxref	cell morphology phenotype
ID	LABEL	A skos:prefLabel	A oboInOwl:has_exact_synonym	EC CL:0000003 and 'has_exemplar' value %	SC %	A rdfs:comment	SC 'part of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'located in' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'has soma location' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'bearer of' some %
http://brain_data_standards/scratch_da1d3bba-12c2-11eb-8055-acde48001122	All cells			AllenDend:CS201908210_76															
http://brain_data_standards/scratch_da1d3d7c-12c2-11eb-8055-acde48001122	MTG 001-069	Neuronal		AllenDend:CS201908210_77															
#http://brain_data_standards/scratch_da1d3e58-12c2-11eb-8055-acde48001122	MTG 001-045	Inhibitory		AllenDend:CS201908210_78
http://brain_data_standards/scratch_da1d3f16-12c2-11eb-8055-acde48001122	MTG 001-027	ADARB2 (CGE)		AllenDend:CS201908210_79															
http://brain_data_standards/scratch_da1d3fb6-12c2-11eb-8055-acde48001122	MTG 001-006	LAMP5/PAX6		AllenDend:CS201908210_80															
http://brain_data_standards/scratch_da1d4060-12c2-11eb-8055-acde48001122	MTG 001-002			AllenDend:CS201908210_81															
http://brain_data_standards/scratch_da1d4100-12c2-11eb-8055-acde48001122	MTG 001	Inh L1-2 PAX6 CDH12		AllenDend:CS201908210_1															
http://brain_data_standards/scratch_da1d41aa-12c2-11eb-8055-acde48001122	MTG 002	Inh L1-2 PAX6 TNFAIP8L3		AllenDend:CS201908210_2															
http://brain_data_standards/scratch_da1d424a-12c2-11eb-8055-acde48001122	MTG 003-006			AllenDend:CS201908210_82															
http://brain_data_standards/scratch_da1d42ea-12c2-11eb-8055-acde48001122	MTG 003	Inh L1 LAMP5 NMBR		AllenDend:CS201908210_3															
http://brain_data_standards/scratch_da1d438a-12c2-11eb-8055-acde48001122	MTG 004-006			AllenDend:CS201908210_83															
http://brain_data_standards/scratch_da1d442a-12c2-11eb-8055-acde48001122	MTG 004-005			AllenDend:CS201908210_84															
http://brain_data_standards/scratch_da1d44ca-12c2-11eb-8055-acde48001122	MTG 004	Inh L1-4 LAMP5 LCP2		AllenDend:CS201908210_4															
http://brain_data_standards/scratch_da1d456a-12c2-11eb-8055-acde48001122	MTG 005	Inh L1-2 LAMP5 DBP		AllenDend:CS201908210_5															
http://brain_data_standards/scratch_da1d4614-12c2-11eb-8055-acde48001122	MTG 006	Inh L2-6 LAMP5 CA1		AllenDend:CS201908210_6															
http://brain_data_standards/scratch_da1d46b4-12c2-11eb-8055-acde48001122	MTG 007-027	VIP		AllenDend:CS201908210_85															
http://brain_data_standards/scratch_da1d4754-12c2-11eb-8055-acde48001122	MTG 007-014			AllenDend:CS201908210_86															
http://brain_data_standards/scratch_da1d47f4-12c2-11eb-8055-acde48001122	MTG 007-012			AllenDend:CS201908210_87															
http://brain_data_standards/scratch_da1d4894-12c2-11eb-8055-acde48001122	MTG 007-009			AllenDend:CS201908210_88															
http://brain_data_standards/scratch_da1d492a-12c2-11eb-8055-acde48001122	MTG 007-008			AllenDend:CS201908210_89															
http://brain_data_standards/scratch_da1d49ca-12c2-11eb-8055-acde48001122	MTG 007	Inh L1 SST CHRNA4		AllenDend:CS201908210_7															
http://brain_data_standards/scratch_da1d4a6a-12c2-11eb-8055-acde48001122	MTG 008	Inh L1-2 ADARB2 MC4R		AllenDend:CS201908210_8															
http://brain_data_standards/scratch_da1d4b00-12c2-11eb-8055-acde48001122	MTG 009	Inh L1-2 SST BAGE2		AllenDend:CS201908210_9															
http://brain_data_standards/scratch_da1d4ba0-12c2-11eb-8055-acde48001122	MTG 010-012			AllenDend:CS201908210_90															
http://brain_data_standards/scratch_da1d4c40-12c2-11eb-8055-acde48001122	MTG 010	Inh L1-3 VIP SYT6		AllenDend:CS201908210_10															
http://brain_data_standards/scratch_da1d4d44-12c2-11eb-8055-acde48001122	MTG 011-012			AllenDend:CS201908210_91															
http://brain_data_standards/scratch_da1d4de4-12c2-11eb-8055-acde48001122	MTG 011	Inh L1-2 VIP TSPAN12		AllenDend:CS201908210_11															
http://brain_data_standards/scratch_da1d4e7a-12c2-11eb-8055-acde48001122	MTG 012	Inh L1-4 VIP CHRNA6		AllenDend:CS201908210_12															
http://brain_data_standards/scratch_da1d4f10-12c2-11eb-8055-acde48001122	MTG 013-014			AllenDend:CS201908210_92															
http://brain_data_standards/scratch_da1d4f9c-12c2-11eb-8055-acde48001122	MTG 013	Inh L1-3 VIP ADAMTSL1		AllenDend:CS201908210_13															
http://brain_data_standards/scratch_da1d5028-12c2-11eb-8055-acde48001122	MTG 014	Inh L1-4 VIP PENK		AllenDend:CS201908210_14															
http://brain_data_standards/scratch_da1d50f0-12c2-11eb-8055-acde48001122	MTG 015-027			AllenDend:CS201908210_93															
http://brain_data_standards/scratch_da1d5262-12c2-11eb-8055-acde48001122	MTG 015-019			AllenDend:CS201908210_94															
http://brain_data_standards/scratch_da1d5352-12c2-11eb-8055-acde48001122	MTG 015-017			AllenDend:CS201908210_95															
http://brain_data_standards/scratch_da1d53f2-12c2-11eb-8055-acde48001122	MTG 015-016			AllenDend:CS201908210_96															
http://brain_data_standards/scratch_da1d547e-12c2-11eb-8055-acde48001122	MTG 015	Inh L2-6 VIP QPCT		AllenDend:CS201908210_15															
http://brain_data_standards/scratch_da1d5514-12c2-11eb-8055-acde48001122	MTG 016	Inh L3-6 VIP HS3ST3A1		AllenDend:CS201908210_16															
http://brain_data_standards/scratch_da1d55a0-12c2-11eb-8055-acde48001122	MTG 017	Inh L1-2 VIP PCDH20		AllenDend:CS201908210_17															
http://brain_data_standards/scratch_da1d562c-12c2-11eb-8055-acde48001122	MTG 018-019			AllenDend:CS201908210_97															
http://brain_data_standards/scratch_da1d56b8-12c2-11eb-8055-acde48001122	MTG 018	Inh L2-5 VIP SERPINF1		AllenDend:CS201908210_18															
http://brain_data_standards/scratch_da1d5744-12c2-11eb-8055-acde48001122	MTG 019	Inh L2-5 VIP TYR		AllenDend:CS201908210_19															
http://brain_data_standards/scratch_da1d57d0-12c2-11eb-8055-acde48001122	MTG 020-027			AllenDend:CS201908210_98															
http://brain_data_standards/scratch_da1d585c-12c2-11eb-8055-acde48001122	MTG 020-023			AllenDend:CS201908210_99															
http://brain_data_standards/scratch_da1d58e8-12c2-11eb-8055-acde48001122	MTG 020-022			AllenDend:CS201908210_100															
