Taxonomy_node_ID	clusterName	Markers Delimited
CS202002013_82	L6b Shisa6_1	ensembl:ENSMUSG00000039714|ensembl:ENSMUSG00000013766|ensembl:ENSMUSG00000024236
CS202002013_83	L6b Shisa6_2	ensembl:ENSMUSG00000020000|ensembl:ENSMUSG00000026826
CS202002013_2	Lamp5 Egln3_1	ensembl:ENSMUSG00000030525|ensembl:ENSMUSG00000059187|ensembl:ENSMUSG00000024598
CS202002013_3	Lamp5 Egln3_2	ensembl:ENSMUSG00000024074|ensembl:ENSMUSG00000092094
CS202002013_4	Lamp5 Egln3_3	ensembl:ENSMUSG00000021508|ensembl:ENSMUSG00000020902|ensembl:ENSMUSG00000042453
CS202002013_8	Lamp5 Lhx6	ensembl:ENSMUSG00000110002|ensembl:ENSMUSG00000029361
CS202002013_1	Lamp5 Pax6	ensembl:ENSMUSG00000027168|ensembl:ENSMUSG00000024867
CS202002013_5	Lamp5 Pdlim5_1	ensembl:ENSMUSG00000044447|ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000027971
CS202002013_6	Lamp5 Pdlim5_2	ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000075270
CS202002013_7	Lamp5 Slc35d3	ensembl:ENSMUSG00000055471|ensembl:ENSMUSG00000022231
CS202002013_89	Meis2	ensembl:ENSMUSG00000027210|ensembl:ENSMUSG00000023800
CS202002013_90	Meis2_Top2a	ensembl:ENSMUSG00000098087|ensembl:ENSMUSG00000100832|ensembl:ENSMUSG00000035551
CS202002013_113	Micro	ensembl:ENSMUSG00000021665
CS202002013_91	OPC Pdgfra	ensembl:ENSMUSG00000029231|ensembl:ENSMUSG00000039954
CS202002013_95	Oligo Enpp6_1	ensembl:ENSMUSG00000013523|ensembl:ENSMUSG00000024985
CS202002013_96	Oligo Enpp6_2	ensembl:ENSMUSG00000115529|ensembl:ENSMUSG00000021835
CS202002013_97	Oligo Enpp6_3	ensembl:ENSMUSG00000015202|ensembl:ENSMUSG00000026566|ensembl:ENSMUSG00000049690|ensembl:ENSMUSG00000026347
CS202002013_98	Oligo Enpp6_4	ensembl:ENSMUSG00000115529|ensembl:ENSMUSG00000015202
CS202002013_99	Oligo Opalin_1	ensembl:ENSMUSG00000111994|ensembl:ENSMUSG00000036777|ensembl:ENSMUSG00000039316
CS202002013_100	Oligo Opalin_2	ensembl:ENSMUSG00000024810|ensembl:ENSMUSG00000032841
CS202002013_101	Oligo Opalin_3	ensembl:ENSMUSG00000041460|ensembl:ENSMUSG00000032517|ensembl:ENSMUSG00000049690
CS202002013_102	Oligo Opalin_4	ensembl:ENSMUSG00000032702|ensembl:ENSMUSG00000029086|ensembl:ENSMUSG00000030616
CS202002013_114	PVM_1	ensembl:ENSMUSG00000101389
CS202002013_115	PVM_2	ensembl:ENSMUSG00000024610|ensembl:ENSMUSG00000030187
CS202002013_116	PVM_3	ensembl:ENSMUSG00000031494
CS202002013_112	Peri	ensembl:ENSMUSG00000030249|ensembl:ENSMUSG00000087516
CS202002013_52	Pvalb Calb1_1	ensembl:ENSMUSG00000028971|ensembl:ENSMUSG00000100650|ensembl:ENSMUSG00000069132
CS202002013_53	Pvalb Calb1_2	ensembl:ENSMUSG00000038048|ensembl:ENSMUSG00000061762|ensembl:ENSMUSG00000034324
CS202002013_49	Pvalb Egfem1	ensembl:ENSMUSG00000073154|ensembl:ENSMUSG00000036834|ensembl:ENSMUSG00000061762
CS202002013_48	Pvalb Gabrg1	ensembl:ENSMUSG00000001260|ensembl:ENSMUSG00000000214
CS202002013_50	Pvalb Gpr149	ensembl:ENSMUSG00000022297|ensembl:ENSMUSG00000031558|ensembl:ENSMUSG00000026452
CS202002013_55	Pvalb Il1rapl2	ensembl:ENSMUSG00000010461|ensembl:ENSMUSG00000059203
CS202002013_51	Pvalb Kank4	ensembl:ENSMUSG00000010066|ensembl:ENSMUSG00000063531|ensembl:ENSMUSG00000026452|ensembl:ENSMUSG00000034310
CS202002013_54	Pvalb Reln	ensembl:ENSMUSG00000031772|ensembl:ENSMUSG00000111061
CS202002013_56	Pvalb Vipr2_1	ensembl:ENSMUSG00000002900|ensembl:ENSMUSG00000001496
CS202002013_57	Pvalb Vipr2_2	ensembl:ENSMUSG00000067028|ensembl:ENSMUSG00000020099
CS202002013_111	SMC	ensembl:ENSMUSG00000035783
CS202002013_11	Sncg Calb1_1	ensembl:ENSMUSG00000063661|ensembl:ENSMUSG00000042045|ensembl:ENSMUSG00000027849
CS202002013_12	Sncg Calb1_2	ensembl:ENSMUSG00000028222|ensembl:ENSMUSG00000024376|ensembl:ENSMUSG00000027849
CS202002013_9	Sncg Col14a1	ensembl:ENSMUSG00000039385|ensembl:ENSMUSG00000058897|ensembl:ENSMUSG00000015766
CS202002013_13	Sncg Npy2r	ensembl:ENSMUSG00000028004|ensembl:ENSMUSG00000029101
