ID	Label	PrefLabel	Synonyms	Exemplar	Classification	Comment	part of	part evidence comment	part evidence pub	part evidence dbxref	location	location evidence comment	location evidence pub	location evidence dbxref	has soma location	soma location evidence comment	soma location evidence pub	soma location evidence dbxref	cell morphology phenotype	cell morphology evidence comment	cell morphology evidence pub	cell morphology evidence dbxref	Class_type
ID	LABEL	A skos:prefLabel	A oboInOwl:has_exact_synonym	EC CL:0000003 and 'has_exemplar' value %	SC %	A rdfs:comment	SC 'part of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'located in' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'has soma location' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:dbxref SPLIT='|'	SC 'bearer of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	
http://brain_data_standards/scratch_3a67f682-21e5-11eb-bce3-acde48001122	All cells			AllenDend:CS201908210_76																			subclass
http://brain_data_standards/scratch_3a67f920-21e5-11eb-bce3-acde48001122	MTG 001-069	Neuronal		AllenDend:CS201908210_77																			subclass
http://brain_data_standards/scratch_3a67f9f2-21e5-11eb-bce3-acde48001122	MTG 001-045	Inhibitory		AllenDend:CS201908210_78																			subclass
http://brain_data_standards/scratch_3a67fa88-21e5-11eb-bce3-acde48001122	MTG 001-027	ADARB2 (CGE)		AllenDend:CS201908210_79																			subclass
http://brain_data_standards/scratch_3a67fb3c-21e5-11eb-bce3-acde48001122	MTG 001-006	LAMP5/PAX6		AllenDend:CS201908210_80																			subclass
http://brain_data_standards/scratch_3a67fbdc-21e5-11eb-bce3-acde48001122	MTG 001-002			AllenDend:CS201908210_81																			subclass
http://brain_data_standards/scratch_3a67fc72-21e5-11eb-bce3-acde48001122	MTG 001	Inh L1-2 PAX6 CDH12		AllenDend:CS201908210_1																			subclass
http://brain_data_standards/scratch_3a67fccc-21e5-11eb-bce3-acde48001122	MTG 002	Inh L1-2 PAX6 TNFAIP8L3		AllenDend:CS201908210_2																			subclass
http://brain_data_standards/scratch_3a67fd44-21e5-11eb-bce3-acde48001122	MTG 003-006			AllenDend:CS201908210_82																			subclass
http://brain_data_standards/scratch_3a67fd9e-21e5-11eb-bce3-acde48001122	MTG 003	Inh L1 LAMP5 NMBR		AllenDend:CS201908210_3																			subclass
http://brain_data_standards/scratch_3a67fdee-21e5-11eb-bce3-acde48001122	MTG 004-006			AllenDend:CS201908210_83																			subclass
http://brain_data_standards/scratch_3a67fe3e-21e5-11eb-bce3-acde48001122	MTG 004-005			AllenDend:CS201908210_84																			subclass
http://brain_data_standards/scratch_3a67fea2-21e5-11eb-bce3-acde48001122	MTG 004	Inh L1-4 LAMP5 LCP2		AllenDend:CS201908210_4																			subclass
http://brain_data_standards/scratch_3a67fef2-21e5-11eb-bce3-acde48001122	MTG 005	Inh L1-2 LAMP5 DBP		AllenDend:CS201908210_5																			subclass
http://brain_data_standards/scratch_3a67ff56-21e5-11eb-bce3-acde48001122	MTG 006	Inh L2-6 LAMP5 CA1		AllenDend:CS201908210_6																			subclass
http://brain_data_standards/scratch_3a67ff9c-21e5-11eb-bce3-acde48001122	MTG 007-027	VIP		AllenDend:CS201908210_85																			subclass
http://brain_data_standards/scratch_3a67ffec-21e5-11eb-bce3-acde48001122	MTG 007-014			AllenDend:CS201908210_86																			subclass
http://brain_data_standards/scratch_3a680050-21e5-11eb-bce3-acde48001122	MTG 007-012			AllenDend:CS201908210_87																			subclass
http://brain_data_standards/scratch_3a6800a0-21e5-11eb-bce3-acde48001122	MTG 007-009			AllenDend:CS201908210_88																			subclass
http://brain_data_standards/scratch_3a6800e6-21e5-11eb-bce3-acde48001122	MTG 007-008			AllenDend:CS201908210_89																			subclass
http://brain_data_standards/scratch_3a680172-21e5-11eb-bce3-acde48001122	MTG 007	Inh L1 SST CHRNA4		AllenDend:CS201908210_7																			subclass
http://brain_data_standards/scratch_3a6801f4-21e5-11eb-bce3-acde48001122	MTG 008	Inh L1-2 ADARB2 MC4R		AllenDend:CS201908210_8																			subclass
http://brain_data_standards/scratch_3a68029e-21e5-11eb-bce3-acde48001122	MTG 009	Inh L1-2 SST BAGE2		AllenDend:CS201908210_9																			subclass
http://brain_data_standards/scratch_3a68032a-21e5-11eb-bce3-acde48001122	MTG 010-012			AllenDend:CS201908210_90																			subclass
http://brain_data_standards/scratch_3a68037a-21e5-11eb-bce3-acde48001122	MTG 010	Inh L1-3 VIP SYT6		AllenDend:CS201908210_10																			subclass
http://brain_data_standards/scratch_3a6803e8-21e5-11eb-bce3-acde48001122	MTG 011-012			AllenDend:CS201908210_91																			subclass
http://brain_data_standards/scratch_3a680438-21e5-11eb-bce3-acde48001122	MTG 011	Inh L1-2 VIP TSPAN12		AllenDend:CS201908210_11																			subclass
http://brain_data_standards/scratch_3a680488-21e5-11eb-bce3-acde48001122	MTG 012	Inh L1-4 VIP CHRNA6		AllenDend:CS201908210_12																			subclass
http://brain_data_standards/scratch_3a6804f6-21e5-11eb-bce3-acde48001122	MTG 013-014			AllenDend:CS201908210_92																			subclass
http://brain_data_standards/scratch_3a680546-21e5-11eb-bce3-acde48001122	MTG 013	Inh L1-3 VIP ADAMTSL1		AllenDend:CS201908210_13																			subclass
http://brain_data_standards/scratch_3a6805aa-21e5-11eb-bce3-acde48001122	MTG 014	Inh L1-4 VIP PENK		AllenDend:CS201908210_14																			subclass
http://brain_data_standards/scratch_3a680604-21e5-11eb-bce3-acde48001122	MTG 015-027			AllenDend:CS201908210_93																			subclass
http://brain_data_standards/scratch_3a68065e-21e5-11eb-bce3-acde48001122	MTG 015-019			AllenDend:CS201908210_94																			subclass
http://brain_data_standards/scratch_3a6806c2-21e5-11eb-bce3-acde48001122	MTG 015-017			AllenDend:CS201908210_95																			subclass
http://brain_data_standards/scratch_3a680712-21e5-11eb-bce3-acde48001122	MTG 015-016			AllenDend:CS201908210_96																			subclass
http://brain_data_standards/scratch_3a680762-21e5-11eb-bce3-acde48001122	MTG 015	Inh L2-6 VIP QPCT		AllenDend:CS201908210_15																			subclass
http://brain_data_standards/scratch_3a6807e4-21e5-11eb-bce3-acde48001122	MTG 016	Inh L3-6 VIP HS3ST3A1		AllenDend:CS201908210_16																			subclass
http://brain_data_standards/scratch_3a680834-21e5-11eb-bce3-acde48001122	MTG 017	Inh L1-2 VIP PCDH20		AllenDend:CS201908210_17																			subclass
http://brain_data_standards/scratch_3a680898-21e5-11eb-bce3-acde48001122	MTG 018-019			AllenDend:CS201908210_97																			subclass
http://brain_data_standards/scratch_3a6808e8-21e5-11eb-bce3-acde48001122	MTG 018	Inh L2-5 VIP SERPINF1		AllenDend:CS201908210_18																			subclass
http://brain_data_standards/scratch_3a680938-21e5-11eb-bce3-acde48001122	MTG 019	Inh L2-5 VIP TYR		AllenDend:CS201908210_19																			subclass
http://brain_data_standards/scratch_3a68099c-21e5-11eb-bce3-acde48001122	MTG 020-027			AllenDend:CS201908210_98																			subclass
http://brain_data_standards/scratch_3a6809ec-21e5-11eb-bce3-acde48001122	MTG 020-023			AllenDend:CS201908210_99																			subclass
http://brain_data_standards/scratch_3a680a3c-21e5-11eb-bce3-acde48001122	MTG 020-022			AllenDend:CS201908210_100																			subclass
http://brain_data_standards/scratch_3a680aa0-21e5-11eb-bce3-acde48001122	MTG 020-021			AllenDend:CS201908210_101																			subclass
http://brain_data_standards/scratch_3a680af0-21e5-11eb-bce3-acde48001122	MTG 020	Inh L1-3 VIP CHRM2		AllenDend:CS201908210_20																			subclass
http://brain_data_standards/scratch_3a680b68-21e5-11eb-bce3-acde48001122	MTG 021	Inh L2-4 VIP CBLN1		AllenDend:CS201908210_21																			subclass
http://brain_data_standards/scratch_3a680bc2-21e5-11eb-bce3-acde48001122	MTG 022	Inh L1-3 VIP CCDC184		AllenDend:CS201908210_22																			subclass
http://brain_data_standards/scratch_3a680c1c-21e5-11eb-bce3-acde48001122	MTG 023	Inh L1-3 VIP GGH		AllenDend:CS201908210_23																			subclass
http://brain_data_standards/scratch_3a680c80-21e5-11eb-bce3-acde48001122	MTG 024-027			AllenDend:CS201908210_102																			subclass
http://brain_data_standards/scratch_3a680cda-21e5-11eb-bce3-acde48001122	MTG 024-025			AllenDend:CS201908210_103																			subclass
