defined_class	homologous_to	homology_similarity_score
http://purl.obolibrary.org/obo/PCL_0019098	http://purl.obolibrary.org/obo/PCL_0011232	
http://purl.obolibrary.org/obo/PCL_0019098	http://purl.obolibrary.org/obo/PCL_0015131	
http://purl.obolibrary.org/obo/PCL_0019099	http://purl.obolibrary.org/obo/PCL_0011233	
http://purl.obolibrary.org/obo/PCL_0019099	http://purl.obolibrary.org/obo/PCL_0015132	
http://purl.obolibrary.org/obo/PCL_0019100	http://purl.obolibrary.org/obo/PCL_0011183	
http://purl.obolibrary.org/obo/PCL_0019100	http://purl.obolibrary.org/obo/PCL_0015171	
http://purl.obolibrary.org/obo/PCL_0019101	http://purl.obolibrary.org/obo/PCL_0011189	
http://purl.obolibrary.org/obo/PCL_0019101	http://purl.obolibrary.org/obo/PCL_0015134	
http://purl.obolibrary.org/obo/PCL_0019102	http://purl.obolibrary.org/obo/PCL_0011192	
http://purl.obolibrary.org/obo/PCL_0019102	http://purl.obolibrary.org/obo/PCL_0015135	
http://purl.obolibrary.org/obo/PCL_0019103	http://purl.obolibrary.org/obo/PCL_0011193	
http://purl.obolibrary.org/obo/PCL_0019103	http://purl.obolibrary.org/obo/PCL_0015138	
http://purl.obolibrary.org/obo/PCL_0019104	http://purl.obolibrary.org/obo/PCL_0011197	
http://purl.obolibrary.org/obo/PCL_0019104	http://purl.obolibrary.org/obo/PCL_0015136	
http://purl.obolibrary.org/obo/PCL_0019110	http://purl.obolibrary.org/obo/PCL_0011150	
http://purl.obolibrary.org/obo/PCL_0019110	http://purl.obolibrary.org/obo/PCL_0015144	
http://purl.obolibrary.org/obo/PCL_0019111	http://purl.obolibrary.org/obo/PCL_0011124	
http://purl.obolibrary.org/obo/PCL_0019111	http://purl.obolibrary.org/obo/PCL_0015143	
http://purl.obolibrary.org/obo/PCL_0019112	http://purl.obolibrary.org/obo/PCL_0011182	
http://purl.obolibrary.org/obo/PCL_0019112	http://purl.obolibrary.org/obo/PCL_0015145	
http://purl.obolibrary.org/obo/PCL_0019113	http://purl.obolibrary.org/obo/PCL_0011234	
http://purl.obolibrary.org/obo/PCL_0019113	http://purl.obolibrary.org/obo/PCL_0015146	
http://purl.obolibrary.org/obo/PCL_0019119	http://purl.obolibrary.org/obo/PCL_0011028	
http://purl.obolibrary.org/obo/PCL_0019119	http://purl.obolibrary.org/obo/PCL_0015040	
http://purl.obolibrary.org/obo/PCL_0019120	http://purl.obolibrary.org/obo/PCL_0011238	
http://purl.obolibrary.org/obo/PCL_0019120	http://purl.obolibrary.org/obo/PCL_0015152	
http://purl.obolibrary.org/obo/PCL_0019121	http://purl.obolibrary.org/obo/PCL_0011240	
http://purl.obolibrary.org/obo/PCL_0019121	http://purl.obolibrary.org/obo/PCL_0015155	
http://purl.obolibrary.org/obo/PCL_0019122	http://purl.obolibrary.org/obo/PCL_0011239	
http://purl.obolibrary.org/obo/PCL_0019122	http://purl.obolibrary.org/obo/PCL_0015156	
http://purl.obolibrary.org/obo/PCL_0019123	http://purl.obolibrary.org/obo/PCL_0011002	
http://purl.obolibrary.org/obo/PCL_0019123	http://purl.obolibrary.org/obo/PCL_0015158	
http://purl.obolibrary.org/obo/PCL_0019124	http://purl.obolibrary.org/obo/PCL_0011149	
http://purl.obolibrary.org/obo/PCL_0019124	http://purl.obolibrary.org/obo/PCL_0015162	
http://purl.obolibrary.org/obo/PCL_0019125	http://purl.obolibrary.org/obo/PCL_0011242	
http://purl.obolibrary.org/obo/PCL_0019125	http://purl.obolibrary.org/obo/PCL_0015160	
http://purl.obolibrary.org/obo/PCL_0019126	http://purl.obolibrary.org/obo/PCL_0011243	
http://purl.obolibrary.org/obo/PCL_0019126	http://purl.obolibrary.org/obo/PCL_0015159	
http://purl.obolibrary.org/obo/PCL_0019127	http://purl.obolibrary.org/obo/PCL_0011241	
http://purl.obolibrary.org/obo/PCL_0019127	http://purl.obolibrary.org/obo/PCL_0015161	
