defined_class	cross_species_classes
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60
