defined_class	gross_cell_type	taxon	brain_region	denorm_marker_list	minimal_marker_list
AllenDend:CS202002013_150	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_28	CL:0011005	CCN202002013	UBERON:0001384	Nos1	Nos1
AllenDend:CS202002013_151	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_152	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_153	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_154	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_155	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_29	CL:0011005	CCN202002013	UBERON:0001384	Cartpt,Il1rapl2,9530026P05Rik	9530026P05Rik,Cartpt,Il1rapl2
AllenDend:CS202002013_30	CL:0011005	CCN202002013	UBERON:0001384	Il1rapl2,Reln	Il1rapl2,Reln
AllenDend:CS202002013_156	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_157	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_31	CL:0011005	CCN202002013	UBERON:0001384	Pld5,Cdh13,Sox6	Cdh13,Pld5,Sox6
AllenDend:CS202002013_32	CL:0011005	CCN202002013	UBERON:0001384	Grm1,Cdh9	Cdh9,Grm1
AllenDend:CS202002013_33	CL:0011005	CCN202002013	UBERON:0001384	Gm30835,Pdyn	Gm30835,Pdyn
AllenDend:CS202002013_158	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_159	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_34	CL:0011005	CCN202002013	UBERON:0001384	Trpc6,Col19a1,Fbn2	Col19a1,Fbn2,Trpc6
AllenDend:CS202002013_35	CL:0011005	CCN202002013	UBERON:0001384	Whrn,Edaradd,Spon1	Edaradd,Spon1,Whrn
AllenDend:CS202002013_160	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_161	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_36	CL:0011005	CCN202002013	UBERON:0001384	Nek7,Trpc6,Eya4	Eya4,Nek7,Trpc6
AllenDend:CS202002013_37	CL:0011005	CCN202002013	UBERON:0001384	Lypd6b,Trpc6	Lypd6b,Trpc6
AllenDend:CS202002013_162	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_163	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_38	CL:0011005	CCN202002013	UBERON:0001384	Hpse,Rerg	Hpse,Rerg
AllenDend:CS202002013_164	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_39	CL:0011005	CCN202002013	UBERON:0001384	Sst,Olfm3	Olfm3,Sst
AllenDend:CS202002013_40	CL:0011005	CCN202002013	UBERON:0001384	Trpc6,Gm49678	
AllenDend:CS202002013_41	CL:0011005	CCN202002013	UBERON:0001384	Moxd1,Prkg2	Moxd1,Prkg2
AllenDend:CS202002013_165	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_166	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_42	CL:0011005	CCN202002013	UBERON:0001384	Gm48893,Pard3b	Gm48893,Pard3b
AllenDend:CS202002013_43	CL:0011005	CCN202002013	UBERON:0001384	Ndnf,Gxylt2,Brinp3	Brinp3,Gxylt2,Ndnf
AllenDend:CS202002013_167	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_44	CL:0011005	CCN202002013	UBERON:0001384	Tac2,Cdh13,Tmtc2	Cdh13,Tac2,Tmtc2
AllenDend:CS202002013_45	CL:0011005	CCN202002013	UBERON:0001384	St6galnac5,Zfpm2,St8sia4	St6galnac5,St8sia4,Zfpm2
AllenDend:CS202002013_168	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_169	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_170	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_46	CL:0011005	CCN202002013	UBERON:0001384	Sst,Pnoc,Pard3b	Pard3b,Pnoc,Sst
AllenDend:CS202002013_47	CL:0011005	CCN202002013	UBERON:0001384	Th,Cort	Cort,Th
AllenDend:CS202002013_48	CL:0011005	CCN202002013	UBERON:0001384	Gabrg1,Th	Gabrg1,Th
AllenDend:CS202002013_171	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_172	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_49	CL:0011005	CCN202002013	UBERON:0001384	Tac1,Plch1,9330158H04Rik	9330158H04Rik,Plch1,Tac1
AllenDend:CS202002013_173	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_50	CL:0011005	CCN202002013	UBERON:0001384	Fzd6,Syt2,Slit2	Fzd6,Slit2,Syt2
AllenDend:CS202002013_174	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_175	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_51	CL:0011005	CCN202002013	UBERON:0001384	Tmem132d,Sema3e,Cacna2d2,Syt2	Cacna2d2,Sema3e,Syt2,Tmem132d
AllenDend:CS202002013_176	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_52	CL:0011005	CCN202002013	UBERON:0001384	Gm28807,Nxph2,Cort	Cort,Gm28807,Nxph2
AllenDend:CS202002013_53	CL:0011005	CCN202002013	UBERON:0001384	Tmem132c,Cntnap5c,Tac1	Cntnap5c,Tac1,Tmem132c
AllenDend:CS202002013_177	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_54	CL:0011005	CCN202002013	UBERON:0001384	Cntnap4,Gm46102	Cntnap4,Gm46102
AllenDend:CS202002013_55	CL:0011005	CCN202002013	UBERON:0001384	Il1rapl2,Eya4	Eya4,Il1rapl2
AllenDend:CS202002013_178	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_56	CL:0011005	CCN202002013	UBERON:0001384	Lamb1,Nkx2-1	
AllenDend:CS202002013_57	CL:0011005	CCN202002013	UBERON:0001384	Cntnap5b,Unc5b	Cntnap5b,Unc5b
AllenDend:CS202002013_179	CL:0000679	CCN202002013	UBERON:0001384		Sv2b,Arpp21
AllenDend:CS202002013_180	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_181	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_182	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_183	CL:0000679	CCN202002013	UBERON:0001384	Calb1,Rasgrf2	Calb1,Rasgrf2
AllenDend:CS202002013_184	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_58	CL:0000679	CCN202002013	UBERON:0001384	Calb1,6530403H02Rik,Adamts2,Met,Rasgrf2	6530403H02Rik,Adamts2,Met
AllenDend:CS202002013_59	CL:0000679	CCN202002013	UBERON:0001384	Calb1,Otof,Meis2,Rasgrf2,Cux1,Ccdc3	Ccdc3,Cux1,Meis2,Otof
AllenDend:CS202002013_60	CL:0000679	CCN202002013	UBERON:0001384	Calb1,Slit3,Stard8,Rasgrf2,Cux2	Cux2,Slit3,Stard8
AllenDend:CS202002013_185	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_186	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_187	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_188	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_61	CL:0000679	CCN202002013	UBERON:0001384	Rorb,Cadps2,Prr16	
AllenDend:CS202002013_62	CL:0000679	CCN202002013	UBERON:0001384	Il1rapl2,Cpne4,Col26a1	
AllenDend:CS202002013_189	CL:0000679	CCN202002013	UBERON:0001384	Cdh12,St6galnac5,Pdzrn3	Cdh12,Pdzrn3,St6galnac5
AllenDend:CS202002013_190	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_63	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_64	CL:0000679	CCN202002013	UBERON:0001384	Cdh12,Gm49678,St6galnac5,Man1a,Pdzrn3,Deptor,Adamts18	
AllenDend:CS202002013_191	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_65	CL:0000679	CCN202002013	UBERON:0001384	Cdh12,Pdzrn3,Cadps2,Pld5,St6galnac5,Ptprk,Enpp2,Rxfp1	
AllenDend:CS202002013_66	CL:0000679	CCN202002013	UBERON:0001384	Cdh12,Cwh43,Pdzrn3,Chrm2,Pld5,St6galnac5	
AllenDend:CS202002013_192	CL:0000679	CCN202002013	UBERON:0001384	Il1rapl2,Bmpr1b,Sulf1	Bmpr1b,Il1rapl2,Sulf1
AllenDend:CS202002013_67	CL:0000679	CCN202002013	UBERON:0001384	Ntng1,Sulf1,Fst,Il1rapl2,Bmpr1b	Bmpr1b,Fst,Ntng1
AllenDend:CS202002013_68	CL:0000679	CCN202002013	UBERON:0001384	Sulf1,C1ql3,Il1rapl2,Bmpr1b,Ptpru	Bmpr1b,C1ql3,Ptpru
AllenDend:CS202002013_69	CL:0000679	CCN202002013	UBERON:0001384	Nr4a2,Tfap2d	Nr4a2,Tfap2d
AllenDend:CS202002013_193	CL:0000679	CCN202002013	UBERON:0001384	Npr3,Gm2164	Gm2164,Npr3
AllenDend:CS202002013_70	CL:0000679	CCN202002013	UBERON:0001384	Npr3,Crym,Gm2164	Crym,Gm2164,Npr3
AllenDend:CS202002013_194	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_195	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_71	CL:0000679	CCN202002013	UBERON:0001384	Trpc7,Erg,Npr3,Gpc5,Gm2164	Erg,Gpc5,Trpc7
AllenDend:CS202002013_72	CL:0000679	CCN202002013	UBERON:0001384	Trpc7,Npr3,Trmt9b,Gpc5,Reln,Gm2164	
AllenDend:CS202002013_73	CL:0000679	CCN202002013	UBERON:0001384	Npr3,Npsr1,Gm2164	Gm2164,Npsr1
AllenDend:CS202002013_196	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_197	CL:0000679	CCN202002013	UBERON:0001384	Foxp2,Hs3st4	Foxp2,Hs3st4
AllenDend:CS202002013_74	CL:0000679	CCN202002013	UBERON:0001384	Tshz2,Grp,Foxp2,Hs3st4,Rxfp1	Grp,Rxfp1,Tshz2
AllenDend:CS202002013_198	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_199	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_75	CL:0000679	CCN202002013	UBERON:0001384	Col23a1,Gpr139,Hs3st4,Foxp2,Acaa1b	Acaa1b,Col23a1,Gpr139
AllenDend:CS202002013_200	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_76	CL:0000679	CCN202002013	UBERON:0001384	Foxp2,Hs3st4,Zfpm2	Foxp2,Hs3st4,Zfpm2
AllenDend:CS202002013_201	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_77	CL:0000679	CCN202002013	UBERON:0001384	Grp,Plcxd3,Meis2,Foxp2,Hs3st4,Pdzrn4	Grp,Meis2,Pdzrn4,Plcxd3
AllenDend:CS202002013_78	CL:0000679	CCN202002013	UBERON:0001384	Gm10635,Foxp2,Cdh18,Hs3st4,Satb2	Cdh18,Gm10635,Satb2
AllenDend:CS202002013_202	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_79	CL:0000679	CCN202002013	UBERON:0001384	Foxp2,Gm10635,Ikzf2,Hs3st4	Gm10635,Ikzf2
AllenDend:CS202002013_80	CL:0000679	CCN202002013	UBERON:0001384	Tshz2,Foxp2,Hs3st4,Nr4a2,Rxfp1	
AllenDend:CS202002013_203	CL:0000679	CCN202002013	UBERON:0001384	Ccn2,Cplx3	
AllenDend:CS202002013_204	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_81	CL:0000679	CCN202002013	UBERON:0001384	Ccn2,Hs3st2,Bmpr1b,Cplx3	
AllenDend:CS202002013_205	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_206	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_82	CL:0000679	CCN202002013	UBERON:0001384	Svil,Ly6g6e,Ccn2,Cplx3	Cplx3,Ly6g6e,Svil
AllenDend:CS202002013_83	CL:0000679	CCN202002013	UBERON:0001384	Ccn2,Moxd1,Nr4a2,Cplx3	Moxd1,Nr4a2
AllenDend:CS202002013_84	CL:0000679	CCN202002013	UBERON:0001384	Ccn2,Fbxl7,Cplx3	
AllenDend:CS202002013_85	CL:0000679	CCN202002013	UBERON:0001384	Ccn2,Olfr112,Cplx3,Rxfp2,Gm42557	Gm42557,Olfr112,Rxfp2
AllenDend:CS202002013_207	CL:0000679	CCN202002013	UBERON:0001384	Etv1,Tshz2	Etv1,Tshz2
AllenDend:CS202002013_208	CL:0000679	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_86	CL:0000679	CCN202002013	UBERON:0001384	Cyp7b1,Tshz2,Dkk2,Vwc2l,Etv1	Cyp7b1,Dkk2,Vwc2l
AllenDend:CS202002013_87	CL:0000679	CCN202002013	UBERON:0001384	Slc17a8,Tshz2,Abi3bp,Etv1	Abi3bp,Slc17a8
AllenDend:CS202002013_88	CL:0000679	CCN202002013	UBERON:0001384	Etv1,Tshz2,Lypd1	Lypd1,Tshz2
AllenDend:CS202002013_209		CCN202002013	UBERON:0001384	Tiam2,Igfbpl1	Igfbpl1,Tiam2
AllenDend:CS202002013_89		CCN202002013	UBERON:0001384	Meis2,Tiam2	Meis2,Tiam2
AllenDend:CS202002013_90		CCN202002013	UBERON:0001384	Gm29260,Gm17750,Igfbpl1	Gm17750,Gm29260,Igfbpl1
AllenDend:CS202002013_91	CL_0002453	CCN202002013	UBERON:0001384		Pdgfra,Stk32a
AllenDend:CS202002013_210	CL:0002605	CCN202002013	UBERON:0001384		Gli3,Slc39a12
AllenDend:CS202002013_92	CL:0002605	CCN202002013	UBERON:0001384	Lockd,Clspn	Clspn,Lockd
AllenDend:CS202002013_211	CL:0002605	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_93	CL:0002605	CCN202002013	UBERON:0001384	Myoc	Myoc
AllenDend:CS202002013_94	CL:0002605	CCN202002013	UBERON:0001384	Phkg1,Slco1c1	Phkg1,Slco1c1
AllenDend:CS202002013_212	CL:0000128	CCN202002013	UBERON:0001384		Gjc3
AllenDend:CS202002013_213	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_214	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_95	CL:0000128	CCN202002013	UBERON:0001384	Bcas1,Tcf7l2	Bcas1,Tcf7l2
AllenDend:CS202002013_96	CL:0000128	CCN202002013	UBERON:0001384	9630013A20Rik,Bmp4	9630013A20Rik,Bmp4
AllenDend:CS202002013_215	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_97	CL:0000128	CCN202002013	UBERON:0001384	Mpzl1,Nckap5,Cnksr3,Tmem163	Cnksr3,Mpzl1,Nckap5,Tmem163
AllenDend:CS202002013_98	CL:0000128	CCN202002013	UBERON:0001384	9630013A20Rik,Cnksr3	9630013A20Rik,Cnksr3
AllenDend:CS202002013_216	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_217	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_99	CL:0000128	CCN202002013	UBERON:0001384	Anln,A330049N07Rik,Rftn1	A330049N07Rik,Anln,Rftn1
AllenDend:CS202002013_100	CL:0000128	CCN202002013	UBERON:0001384	Prr5l,Il33	Il33,Prr5l
AllenDend:CS202002013_218	CL:0000128	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_101	CL:0000128	CCN202002013	UBERON:0001384	Nckap5,Mobp,Cacna2d4	Cacna2d4,Mobp,Nckap5
