defined_class	cross_species_classes
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_2	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_3	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_4	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_7	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_8	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_27	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_28	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_20
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_29	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_37	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_38	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_39	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_16
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_51	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_23
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_52	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_59	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_27
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_60	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_65	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_72	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_73	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_34
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_74	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_75	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_76	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_77	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_78	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_82	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_94	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_100	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_103	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_110	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_111	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_112	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_113	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_119	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_120	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_121	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_122	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_123	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_124	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_125	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_11
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_126	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_10
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_127	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_128	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_18
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_129	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_22
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_130	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_28
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_131	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29
