defined_class	Classification
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_2	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_3	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_4	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_5	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_6	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_7	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_8	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_9	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_10	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_11	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_12	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_13	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_14	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_15	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_16	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_17	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_18	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_19	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_20	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_21	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_22	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_23	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_24	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_25	CL:4023016
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_27	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_28	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_29	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_30	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_31	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_32	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_33	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_34	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_35	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_36	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_37	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_38	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_39	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_40	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_47	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_41	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_42	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_43	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_44	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_45	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_46	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_48	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_49	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_50	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_51	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_52	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_69	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_83	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_84	CL:0000128
