defined_class	gene	protein
PR:000032148	entrez:24141	PR:000032148
PR:000032148	ensembl:ENSMUSG00000027270	PR:000032148
PR:000032148	entrez:100410437	PR:000032148
PR:000017299	entrez:7432	PR:000017299
PR:000017299	ensembl:ENSMUSG00000019772	PR:000017299
PR:000017299	entrez:100386986	PR:000017299
PR:000015325	ensembl:ENSMUSG00000023064	PR:000015325
PR:000015325	entrez:100401551	PR:000015325
PR:000013502	entrez:5816	PR:000013502
PR:000013502	ensembl:ENSMUSG00000005716	PR:000013502
PR:000013502	entrez:100390686	PR:000013502
PR:000015665	entrez:6750	PR:000015665
PR:000015665	ensembl:ENSMUSG00000004366	PR:000015665
PR:000015665	entrez:100412902	PR:000015665
