defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent
http://purl.obolibrary.org/obo/PCL_0024501	Inh L1-2 PAX6 CDH12	entrez:101927870|entrez:7048	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024502	Inh L1-2 PAX6 TNFAIP8L3	entrez:102723487|entrez:221833	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024503	Inh L1 LAMP5 NMBR	entrez:22987|entrez:79625	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024504	Inh L1-4 LAMP5 LCP2	entrez:3815|entrez:594855	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024505	Inh L1-2 LAMP5 DBP	entrez:140689|entrez:594855	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024506	Inh L2-6 LAMP5 CA1	entrez:2070|entrez:55026	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024507	Inh L1 SST CHRNA4	entrez:10512|entrez:162282|entrez:9547	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024508	Inh L1-2 ADARB2 MC4R	entrez:158763|entrez:80332	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024509	Inh L1-2 SST BAGE2	entrez:105377436|entrez:85319	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024510	Inh L1-3 VIP SYT6	entrez:1268|entrez:345557	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024511	Inh L1-2 VIP TSPAN12	entrez:100505474|entrez:1634	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024512	Inh L1-4 VIP CHRNA6	entrez:101928923|entrez:285025	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024513	Inh L1-3 VIP ADAMTSL1	entrez:117154|entrez:54510	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024514	Inh L1-4 VIP PENK	entrez:105371331|entrez:93556	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024515	Inh L2-6 VIP QPCT	entrez:3490|entrez:5121	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024516	Inh L3-6 VIP HS3ST3A1	entrez:10788|entrez:25890	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024517	Inh L1-2 VIP PCDH20	entrez:284|entrez:7432	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024518	Inh L2-5 VIP SERPINF1	entrez:101929690|entrez:128553|entrez:6866	MTG	Human	UBERON:0002771	PCL:0010003
